"month","sales"
"2019-01-01",554
"2019-02-01",590
"2019-03-01",435
"2019-04-01",408
"2019-05-01",406
"2019-06-01",512
"2019-07-01",496
"2019-08-01",629
"2019-09-01",439
"2019-10-01",620
"2019-11-01",446
"2019-12-01",408
"2020-01-01",396
"2020-02-01",416
"2020-03-01",323
"2020-04-01",96
"2020-05-01",351
"2020-06-01",485
"2020-07-01",518
"2020-08-01",380
"2020-09-01",386
"2020-10-01",361
"2020-11-01",353
"2020-12-01",343
"2021-01-01",329
"2021-02-01",330
"2021-03-01",216
"2021-04-01",165
"2021-05-01",283
"2021-06-01",213
"2021-07-01",346
"2021-08-01",276
"2021-09-01",334
"2021-10-01",143
